period,expense_head,amount,cost_center,basis,source_description,remarks
2026-02-01,Commission on Sales,70.35,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 88"
2026-03-01,Commission on Sales,70.35,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 88"
2026-04-01,Commission on Sales,70.35,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 88"
2026-05-01,Commission on Sales,70.35,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 88"
2026-06-01,Commission on Sales,70.35,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 88"
2026-07-01,Commission on Sales,70.35,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 88"
2025-10-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2025-11-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2025-12-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2026-01-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2026-02-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2026-03-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2026-04-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2026-05-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2026-06-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2026-07-01,Commission on Sales,70.35,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 89"
2025-10-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2025-11-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2025-12-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2026-01-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2026-02-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2026-03-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2026-04-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2026-05-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2026-06-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2026-07-01,Commission on Sales,70.35,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 90"
2025-10-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2025-11-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2025-12-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2026-01-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2026-02-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2026-03-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2026-04-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2026-05-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2026-06-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2026-07-01,Commission on Sales,70.35,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 91"
2025-10-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2025-11-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2025-12-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2026-01-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2026-02-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2026-03-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2026-04-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2026-05-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2026-06-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2026-07-01,Commission on Sales,70.35,TWR-45,Building,TWR-45,"Expense workbook V3, Building sheet row 92"
2025-10-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2025-11-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2025-12-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2026-01-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2026-02-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2026-03-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2026-04-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2026-05-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2026-06-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2026-07-01,Commission on Sales,70.35,TWR-58,Building,TWR-58,"Expense workbook V3, Building sheet row 93"
2025-10-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2025-11-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2025-12-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2026-01-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2026-02-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2026-03-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2026-04-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2026-05-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2026-06-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2026-07-01,Commission on Sales,197.85,UG-169,Building,UMM GHUWAILINA-169/180,"Expense workbook V3, Building sheet row 94"
2025-10-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2025-11-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2025-12-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2026-01-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2026-02-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2026-03-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2026-04-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2026-05-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2026-06-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2026-07-01,Commission on Sales,351.18,UG-20,Building,UMM GUWAILINA-20,"Expense workbook V3, Building sheet row 95"
2025-10-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2025-11-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2025-12-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2026-01-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2026-02-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2026-03-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2026-04-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2026-05-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2026-06-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2026-07-01,Depreciation,1094.61,AK-12,Building,AIN KHALID-12,"Expense workbook V3, Building sheet row 97"
2025-10-01,Depreciation,4870.97,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98; carries QAR -1.40 so the head ties to the books (the sheet's percentages do not add exactly)"
2025-11-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2025-12-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2026-01-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2026-02-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2026-03-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2026-04-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2026-05-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2026-06-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2026-07-01,Depreciation,4872.37,DAJ-21,Building,DOHA AL JADEEDA-21,"Expense workbook V3, Building sheet row 98"
2025-10-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2025-11-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2025-12-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2026-01-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2026-02-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2026-03-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2026-04-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2026-05-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2026-06-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2026-07-01,Depreciation,2042.39,MR-130,Building,MANSOURA - 130,"Expense workbook V3, Building sheet row 99"
2025-10-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2025-11-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2025-12-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2026-01-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2026-02-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2026-03-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2026-04-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2026-05-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2026-06-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2026-07-01,Depreciation,901.05,MQ-56,Building,MATHAR QADEEM -56,"Expense workbook V3, Building sheet row 100"
2025-10-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2025-11-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2025-12-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2026-01-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2026-02-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2026-03-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2026-04-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2026-05-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2026-06-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2026-07-01,Depreciation,1201.41,MT-21,Building,MUAITHER-21,"Expense workbook V3, Building sheet row 101"
2025-10-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2025-11-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2025-12-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2026-01-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2026-02-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2026-03-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2026-04-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2026-05-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2026-06-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2026-07-01,Depreciation,3123.66,OG-48,Building,OLD AL GHANIM-48,"Expense workbook V3, Building sheet row 102"
2025-10-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2025-11-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2025-12-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2026-01-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2026-02-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2026-03-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2026-04-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2026-05-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2026-06-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2026-07-01,Depreciation,1041.22,TV-20,Building,THUMAMA-20,"Expense workbook V3, Building sheet row 103"
2025-10-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2025-11-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2025-12-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2026-01-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2026-02-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2026-03-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2026-04-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2026-05-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2026-06-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2026-07-01,Depreciation,834.31,TV-27,Building,THUMAMA-27,"Expense workbook V3, Building sheet row 104"
2025-10-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2025-11-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2025-12-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2026-01-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2026-02-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2026-03-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2026-04-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2026-05-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2026-06-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2026-07-01,Depreciation,840.98,TV-66,Building,THUMAMA-66,"Expense workbook V3, Building sheet row 105"
2025-10-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2025-11-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2025-12-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2026-01-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2026-02-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2026-03-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2026-04-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2026-05-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2026-06-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2026-07-01,Depreciation,934.43,TV-68,Building,THUMAMA-68,"Expense workbook V3, Building sheet row 106"
2025-10-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2025-11-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2025-12-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2026-01-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2026-02-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2026-03-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2026-04-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2026-05-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2026-06-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2026-07-01,Depreciation,427.17,TWR-12,Building,TWR-12,"Expense workbook V3, Building sheet row 107"
2025-10-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2025-11-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2025-12-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2026-01-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2026-02-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2026-03-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2026-04-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2026-05-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2026-06-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2026-07-01,Depreciation,427.17,TWR-16,Building,TWR-16,"Expense workbook V3, Building sheet row 108"
2025-10-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2025-11-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2025-12-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2026-01-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2026-02-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2026-03-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2026-04-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2026-05-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2026-06-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2026-07-01,Depreciation,427.17,TWR-17,Building,TWR-17,"Expense workbook V3, Building sheet row 109"
2025-10-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2025-11-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2025-12-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2026-01-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2026-02-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2026-03-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2026-04-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2026-05-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2026-06-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2026-07-01,Depreciation,427.17,TWR-19,Building,TWR-19,"Expense workbook V3, Building sheet row 110"
2025-10-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2025-11-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2025-12-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2026-01-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2026-02-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2026-03-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2026-04-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2026-05-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2026-06-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2026-07-01,Depreciation,427.17,TWR-20,Building,TWR-20,"Expense workbook V3, Building sheet row 111"
2025-10-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2025-11-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2025-12-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2026-01-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2026-02-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2026-03-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2026-04-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2026-05-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2026-06-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2026-07-01,Depreciation,427.17,TWR-35,Building,TWR-35,"Expense workbook V3, Building sheet row 112"
2025-10-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2025-11-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2025-12-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2026-01-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2026-02-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2026-03-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2026-04-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2026-05-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2026-06-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2026-07-01,Depreciation,427.17,TWR-37,Building,TWR-37,"Expense workbook V3, Building sheet row 113"
2025-10-01,Depreciation,427.17,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 114"
2025-11-01,Depreciation,427.17,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 114"
2025-12-01,Depreciation,427.17,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 114"
2026-01-01,Depreciation,427.17,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 114"
2026-02-01,Depreciation,427.17,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 114"
2026-03-01,Depreciation,427.17,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 114"
2026-04-01,Depreciation,427.17,TWR-39,Building,TWR-39,"Expense workbook V3, Building sheet row 114"
