building,period,accrued_on,amount,paid_on,paid_amount,mode,remarks
AK-12,2025-11-01,2025-11-01,18000.00,2025-11-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
AK-12,2025-12-01,2025-12-01,18000.00,2025-12-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
AK-12,2026-01-01,2026-01-01,18000.00,2026-01-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
AK-12,2026-02-01,2026-02-01,18000.00,2026-02-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
AK-12,2026-03-01,2026-03-01,18000.00,2026-03-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
AK-12,2026-04-01,2026-04-01,18000.00,2026-04-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
AK-12,2026-05-01,2026-05-01,18000.00,2026-05-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
AK-12,2026-06-01,2026-06-01,18000.00,2026-06-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
AK-12,2026-07-01,2026-07-01,18000.00,2026-07-01,18000.00,Cheque,"Head lease HL AK-12, 216,000/yr monthly. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book before running."
